feature_0,feature_1,target
0.241518,0.860666,1
1.30911,-0.0941544,1
0.156128,0.92487,1
0.648699,1.16038,1
-0.0873471,-0.275432,1
0.505713,0.472775,1
-0.424309,1.31721,1
0.179051,0.452982,1
1.14121,-0.116637,1
0.505404,1.70046,1
0.977184,-0.130066,1
0.746848,1.10646,1
0.350246,0.890206,1
0.196949,0.0304359,1
0.49078,0.893595,1
0.212703,0.880378,1
-0.383195,0.550155,1
1.26294,1.2498,1
0.809583,0.83179,1
0.780227,0.081425,1
-0.202045,0.270301,1
0.178985,-0.363199,1
1.10048,0.451884,1
-0.261437,0.665904,1
0.119347,0.715292,1
0.618343,1.18452,1
0.0378113,0.767393,1
1.0069,0.840469,1
1.1848,-0.142009,1
1.56398,0.360301,1
0.206072,-0.114748,1
-0.119594,1.28014,1
0.91653,0.987178,1
0.224404,0.733851,1
0.968959,0.676923,1
0.917678,0.496082,1
0.599412,0.411498,1
0.29176,0.403257,1
1.61463,-0.415653,1
0.542415,-0.221192,1
-0.666223,0.822183,1
0.134876,-0.0472264,1
0.820484,0.957832,1
0.636974,1.0352,1
0.818341,-0.135676,1
0.720909,0.601737,1
0.888884,0.361518,1
0.224644,-0.10853,1
1.04068,0.891384,1
0.988383,-0.813739,1
-0.01441,0.207018,1
0.120844,0.159674,1
0.946205,1.30838,1
0.409206,-0.0304754,1
0.488004,0.273069,1
0.533344,0.539545,1
-0.142743,0.869456,1
-0.054648,-0.0795389,1
0.203727,0.651495,1
-0.229643,0.619203,1
1.15581,0.104866,1
0.815923,-0.614828,1
1.33345,0.575457,1
0.624193,-0.51134,1
0.0337928,0.947559,1
0.843726,0.527018,1
-0.0996997,0.632266,1
1.30582,-0.698933,1
0.0816463,0.0787717,1
0.354903,0.896238,1
0.857558,0.124524,1
0.750656,1.90723,1
0.605103,0.963516,1
0.745495,0.0428909,1
0.000457376,0.737533,1
0.961987,0.623504,1
0.697873,0.233101,1
0.849489,1.41557,1
0.0700495,1.95023,1
1.42769,0.239713,1
-0.301738,0.232726,1
1.16883,0.890073,1
0.86891,1.03086,1
1.64727,0.0448939,1
-0.185061,0.0787182,1
-0.237713,-0.729556,1
1.49051,1.07302,1
0.52021,0.912467,1
0.488438,0.160413,1
1.39993,-0.335452,1
0.562876,0.851983,1
0.146155,0.766637,1
-0.558322,0.736264,1
-0.0485036,0.275189,1
0.847179,-0.497518,1
-0.0479507,1.0677,1
0.59849,0.55994,1
0.436975,1.02494,1
0.194041,0.584089,1
0.885526,0.731185,1
0.707928,1.01215,1
-0.526773,-0.0258381,1
1.14758,0.882777,1
0.992472,0.50231,1
0.513842,0.777148,1
0.601901,1.29169,1
0.488676,-0.433704,1
0.0613203,0.908524,1
0.404623,0.439945,1
0.516037,0.249039,1
0.633094,0.951845,1
-0.576482,0.099161,1
0.54385,0.949177,1
1.5959,0.931057,1
0.689166,0.679906,1
0.701597,0.56954,1
0.453996,1.14953,1
-0.326035,0.298927,1
0.375569,1.09913,1
1.06249,0.435242,1
-0.0928403,0.104252,1
0.5539,0.789469,1
0.595628,-0.18492,1
0.80628,1.12544,1
1.36138,0.857715,1
0.449051,-0.280529,1
0.287158,0.664106,1
0.422276,0.774011,1
0.490225,0.334135,1
0.48093,0.316419,1
-0.143904,0.0731299,1
0.439413,0.568425,1
0.647288,0.589229,1
2.62657,1.07292,1
1.05492,-0.0502155,1
0.580366,1.06647,1
0.882826,-0.460138,1
0.671725,0.409313,1
0.592819,0.781004,1
0.292059,0.663368,1
0.0774798,0.0945487,1
0.105868,1.12927,1
0.215442,-0.277807,1
0.94156,0.886015,1
-0.410499,0.14749,1
1.1624,0.586681,1
1.28836,-0.377128,1
-0.123729,1.28046,1
1.15736,0.381696,1
0.153893,1.21328,1
0.312221,0.868847,1
0.779481,0.142051,1
0.936596,0.890891,1
0.088233,0.960022,1
2.25046,1.07793,1
-0.0203666,0.430507,1
0.144577,0.451093,1
0.670336,0.8211,1
1.87716,0.610626,1
0.444723,-0.287922,1
-0.465668,0.825691,1
0.830077,0.611525,1
0.497297,0.537143,1
0.297228,0.993943,1
0.0174609,0.090279,1
0.744407,0.656452,1
